# time step,model 3 true rewards,random true rewards
790.0,0.640700,0.632900
791.0,0.639900,0.632100
792.0,0.639100,0.631300
793.0,0.638300,0.630500
794.0,0.637500,0.629700
795.0,0.636700,0.628900
796.0,0.635900,0.628100
797.0,0.635100,0.627400
798.0,0.634300,0.626600
799.0,0.633500,0.625800
800.0,0.632800,0.625000
801.0,0.632000,0.624200
802.0,0.631200,0.623400
803.0,0.630400,0.622700
804.0,0.629600,0.621900
805.0,0.628800,0.621100
806.0,0.628100,0.620300
807.0,0.627300,0.619600
808.0,0.626500,0.618800
809.0,0.625700,0.618000
810.0,0.625000,0.617300
811.0,0.624200,0.616500
812.0,0.623400,0.615800
813.0,0.622700,0.615000
814.0,0.621900,0.614300
815.0,0.621100,0.613500
816.0,0.620400,0.612700
817.0,0.619600,0.612000
818.0,0.618900,0.611200
819.0,0.618100,0.610500
820.0,0.617400,0.609800
821.0,0.616600,0.609000
822.0,0.615900,0.608300
823.0,0.615100,0.607500
824.0,0.614400,0.606800
825.0,0.613600,0.606100
826.0,0.612900,0.605300
827.0,0.612100,0.604600
828.0,0.611400,0.603900
829.0,0.610700,0.603100
830.0,0.609900,0.602400
831.0,0.609200,0.601700
832.0,0.608500,0.601000
833.0,0.607700,0.600200
834.0,0.607000,0.599500
835.0,0.606300,0.598800
836.0,0.605600,0.598100
837.0,0.604800,0.597400
838.0,0.604100,0.596700
839.0,0.603400,0.595900
840.0,0.602700,0.595200
841.0,0.602000,0.594500
842.0,0.601300,0.593800
843.0,0.600600,0.593100
844.0,0.599800,0.592400
845.0,0.599100,0.591700
846.0,0.598400,0.591000
847.0,0.597700,0.590300
848.0,0.597000,0.589600
849.0,0.596300,0.588900
850.0,0.595600,0.588200
851.0,0.594900,0.587500
852.0,0.594200,0.586900
853.0,0.593500,0.586200
854.0,0.592800,0.585500
855.0,0.592100,0.584800
856.0,0.591400,0.584100
857.0,0.590800,0.583400
858.0,0.590100,0.582800
859.0,0.589400,0.582100
860.0,0.588700,0.581400
861.0,0.588000,0.580700
862.0,0.587300,0.580000
863.0,0.586700,0.579400
864.0,0.586000,0.578700
865.0,0.585300,0.578000
866.0,0.584600,0.577400
867.0,0.584000,0.576700
868.0,0.583300,0.576000
869.0,0.582600,0.575400
870.0,0.581900,0.574700
871.0,0.581300,0.574100
872.0,0.580600,0.573400
873.0,0.580000,0.572700
874.0,0.579300,0.572100
875.0,0.578600,0.571400
876.0,0.578000,0.570800
877.0,0.577300,0.570100
878.0,0.576700,0.569500
879.0,0.576000,0.568800
880.0,0.575300,0.568200
881.0,0.574700,0.567500
882.0,0.574000,0.566900
883.0,0.573400,0.566300
884.0,0.572700,0.565600
885.0,0.572100,0.565000
886.0,0.571500,0.564300
887.0,0.570800,0.563700
888.0,0.570200,0.563100
889.0,0.569500,0.562400
890.0,0.568900,0.561800
891.0,0.568300,0.561200
892.0,0.567600,0.560500
893.0,0.567000,0.559900
894.0,0.566400,0.559300
895.0,0.565700,0.558700
896.0,0.565100,0.558000
897.0,0.564500,0.557400
898.0,0.563800,0.556800
899.0,0.563200,0.556200
900.0,0.562600,0.555600
901.0,0.562000,0.554900
902.0,0.561300,0.554300
903.0,0.560700,0.553700
904.0,0.560100,0.553100
905.0,0.559500,0.552500
906.0,0.558900,0.551900
907.0,0.558200,0.551300
908.0,0.557600,0.550700
909.0,0.557000,0.550100
910.0,0.556400,0.549500
911.0,0.555800,0.548800
912.0,0.555200,0.548200
913.0,0.554600,0.547600
914.0,0.554000,0.547000
915.0,0.553400,0.546400
916.0,0.552800,0.545900
917.0,0.552200,0.545300
918.0,0.551600,0.544700
919.0,0.551000,0.544100
920.0,0.550400,0.543500
921.0,0.549800,0.542900
922.0,0.549200,0.542300
923.0,0.548600,0.541700
924.0,0.548000,0.541100
925.0,0.547400,0.540500
926.0,0.546800,0.540000
927.0,0.546200,0.539400
928.0,0.545600,0.538800
929.0,0.545000,0.538200
930.0,0.544500,0.537600
931.0,0.543900,0.537100
932.0,0.543300,0.536500
933.0,0.542700,0.535900
934.0,0.542100,0.535300
935.0,0.541600,0.534800
936.0,0.541000,0.534200
937.0,0.540400,0.533600
938.0,0.539800,0.533000
939.0,0.539200,0.532500
940.0,0.538700,0.531900
941.0,0.538100,0.531300
942.0,0.537500,0.530800
943.0,0.537000,0.530200
944.0,0.536400,0.529700
945.0,0.535800,0.529100
946.0,0.535300,0.528500
947.0,0.534700,0.528000
948.0,0.534100,0.527400
949.0,0.533600,0.526900
950.0,0.533000,0.526300
951.0,0.532400,0.525800
952.0,0.531900,0.525200
953.0,0.531300,0.524700
954.0,0.530800,0.524100
955.0,0.530200,0.523600
956.0,0.529700,0.523000
957.0,0.529100,0.522500
958.0,0.528600,0.521900
959.0,0.528000,0.521400
960.0,0.527500,0.520800
961.0,0.526900,0.520300
962.0,0.526400,0.519800
963.0,0.525800,0.519200
964.0,0.525300,0.518700
965.0,0.524700,0.518100
966.0,0.524200,0.517600
967.0,0.523600,0.517100
968.0,0.523100,0.516500
969.0,0.522600,0.516000
970.0,0.522000,0.515500
971.0,0.521500,0.514900
972.0,0.521000,0.514400
973.0,0.520400,0.513900
974.0,0.519900,0.513300
975.0,0.519400,0.512800
976.0,0.518800,0.512300
977.0,0.518300,0.511800
978.0,0.517800,0.511200
979.0,0.517200,0.510700
980.0,0.516700,0.510200
981.0,0.516200,0.509700
982.0,0.515700,0.509200
983.0,0.515100,0.508600
984.0,0.514600,0.508100
985.0,0.514100,0.507600
986.0,0.513600,0.507100
987.0,0.513000,0.506600
988.0,0.512500,0.506100
989.0,0.512000,0.505600
990.0,0.511500,0.505100
991.0,0.511000,0.504500
992.0,0.510500,0.504000
993.0,0.509900,0.503500
994.0,0.509400,0.503000
