# time step,ucb true rewards,random true rewards
480.0,1.041600,0.895200
481.0,1.039400,0.893300
482.0,1.037300,0.891500
483.0,1.035100,0.889600
484.0,1.033000,0.887800
485.0,1.030900,0.885900
486.0,1.028700,0.884100
487.0,1.026600,0.882300
488.0,1.024500,0.880500
489.0,1.022400,0.878700
490.0,1.020300,0.876900
491.0,1.018300,0.875100
492.0,1.016200,0.873400
493.0,1.014100,0.871600
494.0,1.012100,0.869800
495.0,1.010100,0.868100
496.0,1.008000,0.866300
497.0,1.006000,0.864600
498.0,1.004000,0.862800
499.0,1.002000,0.861100
500.0,1.000000,0.859400
501.0,0.998000,0.857700
502.0,0.996000,0.856000
503.0,0.994000,0.854300
504.0,0.992000,0.852600
505.0,0.990100,0.850900
506.0,0.988100,0.849200
507.0,0.986200,0.847500
508.0,0.984200,0.845900
509.0,0.982300,0.844200
510.0,0.980400,0.842600
511.0,0.978400,0.840900
512.0,0.976500,0.839300
513.0,0.974600,0.837600
514.0,0.972700,0.836000
515.0,0.970800,0.834400
516.0,0.969000,0.832800
517.0,0.967100,0.831200
518.0,0.965200,0.829600
519.0,0.963400,0.828000
520.0,0.961500,0.826400
521.0,0.959700,0.824800
522.0,0.957800,0.823200
523.0,0.956000,0.821600
524.0,0.954200,0.820100
525.0,0.952400,0.818500
526.0,0.950600,0.817000
527.0,0.948700,0.815400
528.0,0.947000,0.813900
529.0,0.945200,0.812300
530.0,0.943400,0.810800
531.0,0.941600,0.809300
532.0,0.939800,0.807800
533.0,0.938100,0.806200
534.0,0.936300,0.804700
535.0,0.934600,0.803200
536.0,0.932800,0.801700
537.0,0.931100,0.800200
538.0,0.929300,0.798800
539.0,0.927600,0.797300
540.0,0.925900,0.795800
541.0,0.924200,0.794300
542.0,0.922500,0.792900
543.0,0.920800,0.791400
544.0,0.919100,0.789900
545.0,0.917400,0.788500
546.0,0.915700,0.787100
547.0,0.914100,0.785600
548.0,0.912400,0.784200
549.0,0.910700,0.782800
550.0,0.909100,0.781300
551.0,0.907400,0.779900
552.0,0.905800,0.778500
553.0,0.904100,0.777100
554.0,0.902500,0.775700
555.0,0.900900,0.774300
556.0,0.899300,0.772900
557.0,0.897600,0.771500
558.0,0.896000,0.770100
559.0,0.894400,0.768800
560.0,0.892800,0.767400
561.0,0.891200,0.766000
562.0,0.889700,0.764700
563.0,0.888100,0.763300
564.0,0.886500,0.761900
565.0,0.884900,0.760600
566.0,0.883400,0.759300
567.0,0.881800,0.757900
568.0,0.880300,0.756600
569.0,0.878700,0.755300
570.0,0.877200,0.753900
571.0,0.875600,0.752600
572.0,0.874100,0.751300
573.0,0.872600,0.750000
574.0,0.871100,0.748700
575.0,0.869500,0.747400
576.0,0.868000,0.746100
577.0,0.866500,0.744800
578.0,0.865000,0.743500
579.0,0.863500,0.742200
580.0,0.862100,0.740900
581.0,0.860600,0.739700
582.0,0.859100,0.738400
583.0,0.857600,0.737100
