# time step,reward random diff model 3
1012.0,-0.006300
1013.0,-0.006300
1014.0,-0.006300
1015.0,-0.006300
1016.0,-0.006300
1017.0,-0.006300
1018.0,-0.006300
1019.0,-0.006300
1020.0,-0.006300
1021.0,-0.006300
1022.0,-0.006300
1023.0,-0.006200
1024.0,-0.006200
1025.0,-0.006200
1026.0,-0.006200
1027.0,-0.006200
1028.0,-0.006200
1029.0,-0.006200
1030.0,-0.006200
1031.0,-0.006200
1032.0,-0.006200
1033.0,-0.006200
1034.0,-0.006200
1035.0,-0.006200
1036.0,-0.006200
1037.0,-0.006200
1038.0,-0.006200
1039.0,-0.006200
1040.0,-0.006200
1041.0,-0.006100
1042.0,-0.006100
1043.0,-0.006100
1044.0,-0.006100
1045.0,-0.006100
1046.0,-0.006100
1047.0,-0.006100
1048.0,-0.006100
1049.0,-0.006100
1050.0,-0.006100
1051.0,-0.006100
1052.0,-0.006100
1053.0,-0.006100
1054.0,-0.006100
1055.0,-0.006100
1056.0,-0.006100
1057.0,-0.006100
1058.0,-0.006100
1059.0,-0.006000
1060.0,-0.006000
1061.0,-0.006000
1062.0,-0.006000
1063.0,-0.006000
1064.0,-0.006000
1065.0,-0.006000
1066.0,-0.006000
1067.0,-0.006000
1068.0,-0.006000
1069.0,-0.006000
1070.0,-0.006000
1071.0,-0.006000
1072.0,-0.006000
1073.0,-0.006000
1074.0,-0.006000
1075.0,-0.006000
1076.0,-0.006000
1077.0,-0.006000
1078.0,-0.005900
1079.0,-0.005900
1080.0,-0.005900
1081.0,-0.005900
1082.0,-0.005900
1083.0,-0.005900
1084.0,-0.005900
1085.0,-0.005900
1086.0,-0.005900
1087.0,-0.005900
1088.0,-0.005900
1089.0,-0.005900
1090.0,-0.005900
1091.0,-0.005900
1092.0,-0.005900
1093.0,-0.005900
1094.0,-0.005900
1095.0,-0.005900
1096.0,-0.005900
1097.0,-0.005900
1098.0,-0.005800
1099.0,-0.005800
1100.0,-0.005800
1101.0,-0.005800
1102.0,-0.005800
1103.0,-0.005800
1104.0,-0.005800
1105.0,-0.005800
1106.0,-0.005800
1107.0,-0.005800
1108.0,-0.005800
1109.0,-0.005800
1110.0,-0.005800
1111.0,-0.005800
1112.0,-0.005800
1113.0,-0.005800
1114.0,-0.005800
1115.0,-0.005800
1116.0,-0.005800
1117.0,-0.005800
1118.0,-0.005700
1119.0,-0.005700
1120.0,-0.005700
1121.0,-0.005700
1122.0,-0.005700
1123.0,-0.005700
1124.0,-0.005700
1125.0,-0.005700
1126.0,-0.005700
1127.0,-0.005700
1128.0,-0.005700
1129.0,-0.005700
1130.0,-0.005700
1131.0,-0.005700
1132.0,-0.005700
1133.0,-0.005700
1134.0,-0.005700
1135.0,-0.005700
1136.0,-0.005700
1137.0,-0.005700
1138.0,-0.005600
1139.0,-0.005600
1140.0,-0.005600
1141.0,-0.005600
1142.0,-0.005600
1143.0,-0.005600
1144.0,-0.005600
1145.0,-0.005600
1146.0,-0.005600
1147.0,-0.005600
1148.0,-0.005600
1149.0,-0.005600
1150.0,-0.005600
1151.0,-0.005600
1152.0,-0.005600
1153.0,-0.005600
1154.0,-0.005600
1155.0,-0.005600
1156.0,-0.005600
1157.0,-0.005600
1158.0,-0.005600
1159.0,-0.005500
1160.0,-0.005500
1161.0,-0.005500
1162.0,-0.005500
1163.0,-0.005500
1164.0,-0.005500
1165.0,-0.005500
1166.0,-0.005500
1167.0,-0.005500
1168.0,-0.005500
1169.0,-0.005500
1170.0,-0.005500
1171.0,-0.005500
1172.0,-0.005500
1173.0,-0.005500
1174.0,-0.005500
1175.0,-0.005500
1176.0,-0.005500
1177.0,-0.005500
1178.0,-0.005500
1179.0,-0.005500
1180.0,-0.005500
1181.0,-0.005400
1182.0,-0.005400
1183.0,-0.005400
1184.0,-0.005400
1185.0,-0.005400
1186.0,-0.005400
1187.0,-0.005400
1188.0,-0.005400
1189.0,-0.005400
